Industry,Equipment,Component Part,Lube Spec,Lube Requirements,Standard,Premium,Supreme
Surface Mining,['Draglines'],Engine / Generator,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Surface Mining,['Draglines'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Surface Mining,['Draglines'],Gearbox / Planetaries,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Surface Mining,['Draglines'],Hydraulics / Steering,"SAE 10W
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 10W **,-,-
Surface Mining,['Draglines'],Hydraulics,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,"PETRONAS Hydraulic ESF 
()"
Surface Mining,['Draglines'],Walking Cam,,,No product available,,
Material Handling,"['Material H', 'ling']",Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Material Handling,"['Material H', 'ling']",Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Material Handling,"['Material H', 'ling']",Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Material Handling,"['Material H', 'ling']",Converter,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Material Handling,"['Material H', 'ling']",Hydraulics / Steering,"SAE 10W
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 10W **,-,-
Material Handling,"['Material H', 'ling']",Final Drive,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Material Handling,"['Material H', 'ling']",Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Material Handling,"['Material H', 'ling']",Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Material Handling,"['Material H', 'ling']",Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Material Handling,"['Material H', 'ling']",Open Gears,"AGMA 251.01
FZG
US Steel","Pumpability and sprayability
Adhesive characteristics
Extreme pressure
Low consumption",-,PETRONAS Grease LiCa TMG,-
Material Handling,"['Material H', 'ling']",Cables,OIPEEC,"Core penetration
Adhesive characteristics
Elasticity
Rust and corrosion protection",PETRONAS Grease LiCa GEP 2.5,-,-
Material Handling,"['Material H', 'ling']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Material Handling,"['Material H', 'ling']",Chains,"ISO VG 220
Cincinnati Machine Spec","Tackiness
Rust and corrosion protection
Lubricity",PETRONAS Slideway,-,-
Material Handling,"['Material H', 'ling']",Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Material Handling,"['Material H', 'ling']",Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Material Handling,"['Material H', 'ling']",Open Gears,"AGMA 251.01
FZG
US Steel","Pumpability and sprayability
Adhesive characteristics
Extreme pressure
Low consumption",,PETRONAS Grease LiCa TMG,-
Material Handling,"['Material H', 'ling']",Cables,OIPEEC,"Core penetration
Adhesive characteristics
Elasticity
Rust and corrosion protection",PETRONAS Grease LiCa GEP 2.5,-,-
Material Handling,"['Material H', 'ling']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Material Handling,"['Material H', 'ling']",Chains,"ISO VG 220
Cincinnati Machine Spec","Tackiness
Rust and corrosion protection
Lubricity",PETRONAS Slideway,-,-
Material Handling,"['Material H', 'ling']",Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Material Handling,"['Material H', 'ling']",Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Material Handling,"['Material H', 'ling']",Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Material Handling,"['Material H', 'ling']",Converter,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Material Handling,"['Material H', 'ling']",Hydraulics / Steering,"SAE 10W
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 10W **,-,-
Material Handling,"['Material H', 'ling']",Final Drive,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Material Handling,"['Material H', 'ling']",Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Material Handling,"['Material H', 'ling']",Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Material Handling,"['Material H', 'ling']",Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Material Handling,"['Material H', 'ling']",Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Material Handling,"['Material H', 'ling']",Conveyor Back stop,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Material Handling,"['Material H', 'ling']",Idler rollers bearing,,,Filled for life - special low viscosity grease (contact OEM for initial fill),,
Material Handling,"['Material H', 'ling']",Engine (Two stroke),SAE 40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania CD 40 **,-,-
Material Handling,"['Material H', 'ling']",Engine (Four stroke),15W-40 / 10W -40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Material Handling,"['Material H', 'ling']",Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Material Handling,"['Material H', 'ling']",Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Material Handling,"['Material H', 'ling']",Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Material Handling,"['Material H', 'ling']",Electric Motors,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Material Handling,"['Material H', 'ling']",Pantograph grease,NLGI 2.5,"With graphite solids
Anti-wear
Water tolerance",PETRONAS Grease LiCa GEP 2.5,-,-
Crushing,['Crushing'],Spider bush bearing (Grease),NLGI 2,"High load capability
High and low temperature handling
Mechanical stability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Plain Bearings,AGMA 4EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Spider bush bearing (Oil),AGMA 4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Plain Bearings / Roller bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Gearbox / Reducer,AGMA  4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Spider bush bearing (Grease),NLGI 2,"High load capability
High and low temperature handling
Mechanical stability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Plain Bearings,AGMA 4EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Spider bush bearing (Oil),AGMA 4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Plain Bearings,AGMA 4EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Spider bush bearing (Grease),NLGI 2,"High load capability
High and low temperature handling
Mechanical stability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Spider bush bearing (Oil),AGMA 4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Press bearings (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Press bearings (Oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,-,PETRONAS Circula Syn
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Screening,['Screening'],Bearings (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Screening,['Screening'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Screening,['Screening'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,
Screening,['Screening'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Screening,['Screening'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Screening,['Screening'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Screening,['Screening'],Coupling,"NLGI 1
AGMA CG 1 and 2","Low oil bleed
Oxidation stability
Resistance to centrifugal force",PETRONAS Grease Li 2,PETRONAS Grease PE HS,-
Screening,['Screening'],Idler roller bearing,,,Filled for life - special low viscosity grease (contact OEM for initial fill),,
Transfers,['Transfers'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Transfers,['Transfers'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Transfers,['Transfers'],Coupling (oil),ISO VG 46,"Oxidation stability
Good air release
Low foaming tendencies",PETRONAS Jenteram,PETRONAS Jenteram G,PETRONAS Jenteram Syn
Transfers,['Transfers'],Idler roller bearing,,,Filled for life - special low viscosity grease (contact OEM for initial fill),,
Transfers,['Transfers'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Transfers,['Transfers'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Transfers,['Transfers'],Fans (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Fans - Plain Bearings,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Transfers,['Transfers'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Plummer block bearing (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX  Syn 2/460
Transfers,['Transfers'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Transfers,['Transfers'],Plummer block bearing (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX  Syn 2/460
Transfers,['Transfers'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Transfers,['Transfers'],Fans (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Transfers,['Transfers'],Electric Motor (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Grinding,['Grinding'],Plain Bearings,ISO VG Range,"Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Circula series,-,PETRONAS Circula Syn
Grinding,['Grinding'],Slipper pad bearing (Grease),NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX Syn 2/460
Grinding,['Grinding'],Slipper pad bearing (Oil),ISO VG Range,"High load capability
Water tolerance
Long life",PETRONAS Circula series,-,PETRONAS Circula Syn
Grinding,['Grinding'],Electric Motor  (Grease),NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Grinding,['Grinding'],Electric Motor  (Oil),"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Grinding,['Grinding'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Grinding,['Grinding'],Hydraulics,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Grinding,['Grinding'],Girth Gear,"AGMA 251.01
FZG
US Steel","Pumpability and sprayability
Adhesive characteristics
Extreme pressure
Low consumption",-,PETRONAS Grease LiCa TMG,-
Pumping,['Pumping'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Pumping,['Pumping'],Grease points,NLGI 2 EP,"High load capability
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX  Syn 2/460
Pumping,['Pumping'],Roller and Thrust Bearings (Oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,-,PETRONAS Circula Syn
Pumping,['Pumping'],Roller and Thrust Bearings (Grease),NLGI 2 EP,"High load capability
Long life
Water tolerance",-,PETRONAS Grease CaSX,-
Pumping,['Pumping'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Pumping,['Pumping'],Grease points,NLGI 2 EP,"High load capability
Long life",PETRONAS Grease LiX EP 2/380,,PETRONAS Grease LiX  Syn 2/460
Classification,['Classification'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Separation,['Separation'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Separation,['Separation'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Separation,['Separation'],Vertical bearing (oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,-,PETRONAS Circula Syn
Separation,['Separation'],Vertical bearing (grease),NLGI 2 EP,"Extreme high load
Water tolerance
High and low temperature capability",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Separation,['Separation'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Separation,['Separation'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Separation,['Separation'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Separation,['Separation'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Separation,['Separation'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAG
Separation,['Separation'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Separation,['Separation'],Vertical bearing (oil),ISO VG range,"Demulsibity
Low foaming tendencies
Antiwear properties",PETRONAS Circula,-,PETRONAS Circula Syn
Separation,['Separation'],Vertical bearing (grease),NLGI 2 EP,"Extreme high load
Water tolerance
High and low temperature capability",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/460
Separation,['Separation'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/460
Separation,['Separation'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Separation,['Separation'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Separation,['Separation'],Recovery Grease,Cone penetration,"Tackiness
Penetration
Congealing point",No product available yet,-,-
Separation,['Separation'],Bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,,PETRONAS Grease LiX Syn 2/220
Separation,['Separation'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Separation,['Separation'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,PETRONAS Gear FL,PETRONAS Gear Syn PAG
Surface Mining,['Surface Mining'],Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Surface Mining,['Surface Mining'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Surface Mining,['Surface Mining'],Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Surface Mining,['Surface Mining'],Converter,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Surface Mining,['Surface Mining'],Hydraulics / Steering,"SAE 10W
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 10W **,-,-
Surface Mining,['Surface Mining'],Final Drive,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Surface Mining,['Surface Mining'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Surface Mining,['Surface Mining'],Engine and Generator,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Surface Mining,['Surface Mining'],Slewing gear,"NLGI 2
Liebherr, Bell (white solids)","With solid lubricants
Water tolerance
Extreme high load capability",-,-,PETRONAS Grease LiX Semi Syn SR (Slew Ring Grease)
Surface Mining,['Surface Mining'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Surface Mining,['Surface Mining'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Surface Mining,['Surface Mining'],Hydraulics,"Premium VI
High VI","Water Separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,Petronas Hydraulic ESF
Surface Mining,['Surface Mining'],Generator – Electric Motor,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Surface Mining,['Surface Mining'],Steel Ropes,OIPEEC,"Core penetration
Adhesive characteristics
Elasticity
Rust and corrosion protection",PETRONAS Grease LiCa GEP 2.5,-,-
Surface Mining,['Surface Mining'],Gearbox / Reducer,AGMA 4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP *,Gengear XEP Series,PETRONAS Gear Syn PAO
Surface Mining,['Surface Mining'],Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Surface Mining,['Surface Mining'],Conveyor bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease Li EP 2,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Surface Mining,['Surface Mining'],Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Surface Mining,['Surface Mining'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Surface Mining,['Surface Mining'],Transmission,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
